Kanji,Reading,Definition,Sentence,Translation,tags
お姉さん,おねえさん,older sister,昨日、あなたのお姉さんに会ったよ。,I met your older sister yesterday.,290-299 Noun
妹,いもうと,younger sister,私の妹は小学生です。,My little sister goes to elementary school.,290-299 Noun
おなか,おなか,stomach,おなかが空きました。,I'm hungry.,300-309 Noun
兄,あに,older brother,兄は水泳が得意です。,My big brother is good at swimming.,300-309 Noun
お兄さん,おにいさん,older brother,あなたのお兄さんは何歳?,How old's your big brother?,300-309 Noun
弟,おとうと,younger brother,弟は野球が好きです。,My little brother likes baseball.,300-309 Noun
娘,むすめ,"daughter, girl",私の娘はアメリカにいます。,My daughter is in the United States.,300-309 Noun
息子,むすこ,son,うちの息子は大学1年生です。,My son's a college freshman.,300-309 Noun
若い,わかい,young,彼はまだ若いです。,He's still young.,300-309 Adjective
彼女,かのじょ,"she, one's girlfriend",彼女はOLです。,She's an office worker.,300-309 Pronoun
彼,かれ,"he, one's boyfriend",彼は私の上司です。,He's my senior.,300-309 Noun
結婚,けっこん,marriage,彼女は来月結婚します。,She's getting married next month.,300-309 Verbal Noun
ミーティング,ミーティング,meeting,朝9時からミーティングが始まった。,The meeting started at 9 a.m.,310-319 Noun
自転車,じてんしゃ,bicycle,毎日、駅まで自転車で行きます。,I go to the station by bike every day.,310-319 Noun
自分,じぶん,"self, oneself",宿題は自分でやりなさい。,Do your homework by yourself.,310-319 Noun
ご主人,ごしゅじん,(your) husband,ご主人はお元気ですか。,How is your husband?,310-319 Noun
答える,こたえる,"answer, reply",私の質問に答えてください。,Please answer my question.,310-319 Verb
別,べつ,"another, different",別の本も見せてください。,Please show me another book.,310-319 Adjectival Noun
病気,びょうき,illness,祖父が病気になった。,My grandfather got sick.,310-319 Verbal Noun
死ぬ,しぬ,die,犬が病気で死にました。,Our dog got sick and died.,310-319 Verb
痛い,いたい,painful,今日は頭が痛いです。,I have a headache today.,310-319 Adjective
酒,さけ,"alcoholic drink, Japanese rice wine",彼女は酒に強い。,She holds her liquor well.,310-319 Noun
つける,つける,switch on,電気をつけてください。,Please turn on the light.,320-329 Verb
一杯,いっぱい,full,プールは人で一杯です。,The pool is packed.,320-329 Adverb
飛ぶ,とぶ,fly,鳥が飛んでいます。,A bird is flying.,320-329 Verb
飛行機,ひこうき,airplane,息子は飛行機のおもちゃが好きです。,My son likes toy airplanes.,320-329 Noun
お願い,おねがい,favor,お願いがあります。,I have a favor to ask.,320-329 Verbal Noun
続く,つづく,"continue, follow",工事は3月まで続きます。,Construction will continue until March.,320-329 Verb
日記,にっき,diary,私は毎日、日記を付けています。,I keep a diary every day.,320-329 Noun
首,くび,neck,きりんの首は長い。,Giraffes' necks are long.,320-329 Noun
頭,あたま,head,今朝から頭が痛い。,I've had a headache since this morning.,320-329 Noun
顔,かお,face,彼はタオルで顔を拭きました。,He wiped his face with a towel.,320-329 Noun
あれ,あれ,that over there,あれは何ですか。,What's that?,330-339 Noun
感じる,かんじる,"feel, sense",膝に痛みを感じます。,I feel a pain in my knee.,330-339 Verb
探す,さがす,"search for, look for",彼は郵便局を探していました。,He was looking for the post office.,330-339 Verb
落ちる,おちる,"fall, sink",猿も木から落ちる。,Monkeys also fall from trees.,330-339 Verb
お手洗い,おてあらい,"toilet, bathroom",お手洗いはどこですか。,Where's the bathroom?,330-339 Noun
冷たい,つめたい,"cold (things, touch)",冷たい飲み物をください。,Please give me a cold drink.,330-339 Adjective
汚い,きたない,dirty,彼の部屋はとても汚い。,His room is very dirty.,330-339 Adjective
太い,ふとい,"thick, fat",彼女は足が太い。,She has fat legs.,330-339 Adjective
曇る,くもる,become cloudy,明日は昼頃から曇るでしょう。,It'll probably get cloudy around noon tomorrow.,330-339 Verb
神,かみ,"god, spirit",彼は神を信じている。,He believes in God.,330-339 Noun
まずい,まずい,"bad-tasting, bad",ここの料理はまずい。,The food here is bad.,340-349 Adjective
建てる,たてる,"build, erect",私たちは来年、家を建てます。,We're building a house next year.,340-349 Verb
置く,おく,"put, leave",彼はかばんをいすの上に置きました。,He put the bag on the chair.,340-349 Verb
辺,へん,area; vicinity,彼はこの辺に住んでいます。,He lives around here.,340-349 Noun
黄色い,きいろい,yellow,彼女に黄色いバラを買いました。,I bought her a yellow rose.,340-349 Adjective
一緒に,いっしょに,"together, at the same time",一緒に帰りましょう。,Let's go home together.,340-349 Adverb
緑,みどり,"green, foliage",この町には緑がたくさんあります。,There's a lot of greenery in this town.,340-349 Noun
